order,type,name,filename,text,eng_text
10,P,10_CHC2023006G04852,04e0e166-749c-4b8a-b128-179bdfbd5443,"烏克蘭頓巴斯。
105公厘榴彈炮炮手迅速遠離火炮，有效發射砲彈。他們以精準敏捷的行動見長，可在戰場上快速做好準備並能有策略地應對各種狀況。","UKRAINE. Donbas.
The 105mm howitzer gunner swiftly maneuvers away from the artillery piece, efficiently delivering the shell. Their movements, marked by precision and agility, allow for rapid readiness and strategic adaptability on the battlefield."
11,P,11_CHC2023006G03088,fcdc6f85-346b-4388-a525-4983f28b96f8,"烏克蘭頓巴斯。
此處精心策置了一門誘餌木炮，用以欺騙和迷惑俄羅斯無人機及其操作員。這種假裝置是一項精巧的詭計，它能製造混亂並轉移人們對實際軍事陣地的注意力。","UKRAINE. Donbas.
A decoy wooden cannon was strategically placed to deceive and bewilder Russia's drones and their operators. This dummy device is a clever ruse, creating confusion and diverting attention from actual military positions."
12,P,12_CHC2023006G03713,bde71173-13e4-4ea3-a8ef-11b6a60fadc0,"烏克蘭頓巴斯。
在前線小鎮多利納（Dolyna），一隻孤獨的烏鴉滑翔過一個廢棄的路障——一輛焦黑的貨車。鳥兒在空蕩蕩的景象中穿梭，下方的荒涼顯而易見，這是衝突餘波帶來的心酸見證。","UKRAINE. Donbas.
A solitary crow glides over a deserted roadblock marked by a charred van in the frontline town of Dolyna. The desolation below is palpable as the bird weaves through the abandoned scene, a poignant witness to the aftermath of conflict."
13,P,16_CHC2023006G02753,6e457ec7-ad36-4f07-82c9-213cb0fc4aba,"烏克蘭基輔。
在聖米迦勒金圓頂修道院（St. Michael’s Golden-Domed Monastery）前，兩名軍樂隊的成員為兩名外國戰士的葬禮，演奏悲傷輓歌。","UKRAINE. Kyiv.
Two solemn military band members standing before St. Michael's Golden-Domed Monastery play mournful tunes on their instruments, creating a poignant soundtrack for the funerals of two foreign fighters. The strains of their music echo through the air, honoring the sacrifice of these fallen soldiers amid the historic surroundings."
14,P,23_CHC2023006G04856,4a8cbc3e-0946-44bb-89bc-d9c6a2d32afc,"烏克蘭頓巴斯。
夕陽西下時，一名軍事狙擊手結束練習，踩著紀律嚴明的步伐，從金德拉帝夫斯卡（Kindrativska）附近的哨所出發。漸暗的日光映照出他和他步槍的輪廓，說明了訓練課程在柔和的氣氛中結束。","UKRAINE. Donbas.
As the sun sets, a military sniper concludes their practice and departs with a disciplined stride from the post near Kindrativska. The fading daylight silhouettes him and his rifle and underscores the conclusion of the training session in a subdued atmosphere."
15,P,20_CHC2023006G03825,24e567ea-a48d-44f8-b6af-7f45fa3b2d59,"烏克蘭頓巴斯。
在新奧西諾韋（Novoosynove），東正教教堂於12月25日舉行了首次耶誕節禮拜，當地人和來自前線的士兵齊聚一堂。","UKRAINE. Donbas.
In Novoosynove, the Orthodox church observes its first Christmas service on December 25, bringing together locals and soldiers from the frontline. Amidst hymns and candlelight, a priest leads prayers that blend festive joy with reflections on the ongoing conflict."
16,P,17_CHC2023006G02783,68327f74-ae12-46ba-982d-36c1218ca386,"烏克蘭基輔。
2023年，烏克蘭第一次改變過去慣用的東正教曆法，遵循西方傳統在12月25日慶祝耶誕節，此舉象徵與俄羅斯保持距離。","UKRAINE. Kyiv.
On December 25, 2023, Ukraine marked Christmas, symbolically distancing itself from Russia. The tree on Sophia Square in Kyiv, adorned with blue and yellow heart-shaped ornaments featuring Ukraine's coat of arms, reflects broader measures taken since Russia's invasion, including renaming streets and removing monuments to erase traces of the Russian and Soviet empires."
17,P,18_CHC2023006G02015,460a3e23-52f2-44ac-af6d-d6399ef96ea7,"烏克蘭札波羅熱。
烏克蘭志願軍的刺青是兩支步槍和一把劍，其構圖讓人聯想到烏克蘭國徽三叉戟（Tryzub）。此圖樣象徵部隊內的團結和力量，反映出其國家認同和軍事友誼的強大連結。","UKRAINE. Zaporizhzhia.
The tattoo of the Ukrainian Volunteer Army features two rifles flanking a sword, forming a composition reminiscent of the Ukrainian national emblem, the Tryzub (Trident). This symbolizes unity and strength within the unit, reflecting a powerful connection to national identity and military camaraderie."
18,P,24_CHC2023006G02360,1163b382-cd68-44cd-8adb-c36af408eabe,"烏克蘭扎波羅熱。
在黑暗中，一名烏克蘭志願軍（UDA）迫擊炮炮手正在準備一個共軛物瞄準器，小心翼翼地巧妙選擇的紅光，以盡量減少從天空中的可見度。迫擊炮隱藏在迷彩偽裝中，等待著被啟動，而炮手在微弱的光線下將瞄準器對齊。這整個過程都是祕密進行，是一項極具挑戰的任務。","UKRAINE. Zaporizhzhia.
Under darkness, a Ukrainian volunteer army (UDA) gunner prepares a collimator mortar sight, carefully utilizing a discreet red light strategically chosen for its minimal visibility from the sky. The mortar, concealed from aerial scrutiny, awaits activation as the gunner aligns the collimator in the subtle glow, rendering the entire process a challenging task in covert readiness."
19,P,25_CHC2023006G04861,c9ee946c-e9c0-4d8c-bdbe-30544e291048,"烏克蘭頓巴斯。
前線哨所白雪皚皚、氛圍靜謐，122公厘 2C1 Gvozdika榴彈炮夜間的炮擊聲劃破了寧靜，雷鳴般的聲響在冷冽的空氣中迴盪。","UKRAINE. Donbas.
In the tranquil ambiance of a snowy frontline outpost, the nightly blast of the 122mm 2C1 Gvozdika howitzer fractures the silence, its thunderous report resonating through the frosty air."
20,P,26_CHC2023006G04660,7d1a9cd9-762c-46fb-9115-ad5b31432f2b,"烏克蘭頓巴斯。
在卡姆揚斯開（Kamianska）附近的前線，有一片廣袤的場域，稱之「危險地雷區」。在該區旁邊，一輛廢棄的坦克車無聲見證了這個飽受戰爭蹂躪的地區，有多麼危險。","UKRAINE. Donbas.
In the frontline near the town of Kamianska lies an expansive field marked as a Danger Mine zone. Adjacent to it, a deserted tank is a silent witness to the peril in this war-torn region."
21,P,29_CHC2023006G04382,9c7fcaa3-8bf2-4db5-8e22-e182b0cbfea6,"烏克蘭頓巴斯。
索斯諾夫（Sosnove）附近的住宅建築滿目瘡痍，承受了爆炸的慘烈餘波，殘破不堪的建築披上一層原雪（pristine snow），毀滅與冬日寧靜形成了鮮明的對比。","UKRAINE. Donbas.
The residential buildings near Sosnove stand devastated, bearing the grim aftermath of the bombing hattered structures draped in a cloak of pristine snow, a stark juxtaposition of destruction and winter's serenity."
22,P,30_CHC2023006G04316,e4dcf7b2-1c1c-48f4-9486-40ab83287952,"烏克蘭頓巴斯。
魯布西鎮（Rubtsi）附近的一家網路公司受損的天線，結構扭曲破碎，如同枯樹的樹幹細枝，兩者都因受衝突影響而嚴重損毀。四周的雪凸顯了這一場景，寒冬氛圍描繪出一幅與破壞有關的畫作。","UKRAINE. Donbas.
The damaged antenna of the internet company near the town of Rubtsi, with its distorted and broken structure, resembles barren tree branches and twigs, both starkly disrupted by the impact of conflict. The surrounding snow accentuates the scene, painting a picture of destruction against the winter backdrop."
23,P,32_CHC2023006G04708,0f4989f8-dc21-4c88-b2e1-124ca6eaf430,"烏克蘭頓巴斯。
由於戰爭，通往哈爾基夫（Kharkiv）的高速公路上，受損的路邊廣告看板反映出衝突的直接影響。看板表面不僅帶有時間的磨損，還有該地區發生的動盪事件導致的明顯傷痕。","UKRAINE. Donbas.
Due to the war, a damaged roadside billboard along the highway to Kharkiv reflects the direct impact of conflict, its surfaces bearing not only the wear of time but also the visible scars of the turbulent events that have unfolded in the region."
24,P,33_CHC2023006G04590,b5bfbb82-b53c-4095-bf18-f269697f3bb9,"烏克蘭頓巴斯。
一名士兵在爆炸後的廢墟中行走，觀察一棟受損的房屋。房屋飽受衝突摧殘，只剩幾堵牆還矗立著。","UKRAINE. Donbas.
A soldier walks amidst the aftermath of a bombing, surveying a damaged house with few walls standing, albeit marked by the ravages of conflict."
25,P,14_CHC2023006G02179,6efcb379-927e-404f-8146-57cf1fef573a,"烏克蘭巴甫洛格勒（Pavlograd）。
在巴甫洛格勒，在一條被雨水浸透的路上，一輛汽車向前駛去，擋風玻璃被流彈碎片擊碎。雨滴在破損的玻璃上流動，在持續衝突的餘波中，為駕駛帶來扭曲的視野，這是戰爭傷痕中堅韌又令人心酸的象徵。","UKRAINE. Pavlograd.
In the rain-soaked roads of Pavlograd, a car presses forward, its windshield fractured by the impact of two shrapnel pieces. The raindrops move on the damaged glass, creating a distorted view for the driver navigating through the aftermath of ongoing conflict, a poignant symbol of resilience amid the scars of war."
26,P,34_CHC2023006G04167,400de2c9-3651-4fad-b2c0-0e8d55d40fad,"烏克蘭頓巴斯。
在新奧西諾韋（Novoosynove），一位當地年長居民站在廢墟中。在2023年12月1日之前，這裡曾是他的家。他忠實的狗在後面徘徊，這個場景瀰漫著安靜絕望。","UKRAINE. Donbas.
In Novoosynove, a senior local resident stands amid the wreckage that was once his home before December 1, 2023. His faithful dog lingers behind, mirroring the quiet despair that permeates the scene."
27,P,35_CHC2023006G04224,886bf633-246d-4ded-a8bc-2bac98676ebc,"烏克蘭頓巴斯。
一名士兵大步走過甫安裝的反坦克防禦系統，其上滿布龍牙和拉緊的鐵絲網，對潛在威脅產生了令人震懾的恫嚇作用。生了令人震懾的恫嚇作用。","UKRAINE. Donbas.
A soldier strides alongside a recently installed anti-tank defense, which imposes dragon teeth and taut barbed wires, creating a formidable deterrent against potential threats."
28,P,42_CHC2023006G03688,32bec255-6599-4a8e-b5b5-765541409ec7,"烏克蘭頓巴斯。
韋謝列的向日葵田曾經生氣勃勃、金黃燦亮，現在卻在大雪重壓下低垂失意。冬日將未採收的田地變成了在原雪織成的毯子下，向日葵低彎的廣袤寧靜；而花朵的莖稈上掛滿了霜白，營造出悲傷的景象。","UKRAINE. Donbas.
A sunflower field in Vesele, once vibrant and golden, now bows under the weight of heavy snow. The stalks, laden with white, create a sad scene as winter transforms the unharvested field into a serene expanse of bent sunflowers beneath a pristine blanket of snow."
29,P,49_CHC2023006G02941,3e3091ed-ecb3-4963-8fb5-e5d6438bbb3b,"烏克蘭頓巴斯。
一次突擊行動後，狂怒旅的成員們行近基地，久經沙場的人員剪影暗指其所面臨的挑戰。","UKRAINE. Donbas.
After an assault operation, the members of the Fury Brigade approached the base, and the silhouette of battle-worn personnel hinted at the challenges faced. The return marked not just the end of a mission but a transition to the next readiness phase, leaving behind a trail of dedication and purpose on the journey back to their military base."
30,P,40_CHC2023006G04280,70a8cdc9-52e4-479d-93e8-d7276b056157,"烏克蘭頓巴斯。
路邊的田野呈現出一幅強烈的畫面：在無情積雪的映襯下，輪胎留下的鮮明黑痕，形成了一座迷宮，使得在充滿挑戰的冬季地形中航行，成為一項艱鉅而複雜的任務。","UKRAINE. Donbas.
A roadside field presents an intense tableau, where tire tracks, stark and black against the relentless snow, create a labyrinth, making navigating the challenging winter terrain a daunting and intricate task."
31,P,44_CHC2023006G03056,b67d88c5-5220-4973-99c6-20853d9fc939,"烏克蘭頓巴斯。
在費多里夫卡（Fedorivka）附近的前線，一門155公厘榴彈炮隱藏在精心分層的迷彩之下。錯綜複雜的圖案與周圍環境融為一體，戰場上幾乎無法發現這門威力強大的火炮。","UKRAINE. Donbas.
A 155mm howitzer lies concealed beneath meticulously layered camouflage in the frontline near Fedorivka. The intricate patterns blend seamlessly with the surroundings, rendering the formidable artillery piece nearly indiscernible on the battlefield."
32,P,46_CHC2023006G04513,d1afac8c-a0ef-4f9e-958c-5c26f780af82,"烏克蘭頓巴斯。
一名M777 155公厘榴彈炮組組員就緒，準備為即將進行的炮擊填裝火藥。組員精確專注地處理強大火炮所需的零件。","UKRAINE. Donbas.
An M777 155mm howitzer crew member assumes his position, readying to load the propellant charge for the impending firing. The crew handle the necessary components with precision and focused intent for the powerful artillery."
33,P,47_CHC2023006G04527,d233a9e8-aa11-40b9-8b6c-9c3d36894c40,"烏克蘭頓巴斯。
M777組組員於射擊後熟練放下大炮之際，一陣疲勞襲來。在前線惡劣條件下連續作業，導致他們的動作雖效率高卻充滿倦意。","UKRAINE. Donbas.
Fatigue weighs on the M777 crew members as they skillfully lower the cannon after firing, their movements marked by both efficiency and the weariness that comes from continuous operation in demanding conditions in the frontline."
34,P,48_CHC2023006G04859,43867edb-ce1e-467e-bb74-c39b605011b1,"烏克蘭頓巴斯。
在前線哨所，白雪皚皚氣氛靜謐，122公釐2C1 Gvozdika榴彈炮的炮擊聲劃破夜間的寧靜，雷鳴般的聲響在寒冽的空氣中迴盪。","UKRAINE. Donbas.
In the tranquil ambiance of a snowy frontline outpost, the nightly blast of the 122mm 2C1 Gvozdika howitzer fractures the silence, its thunderous report resonating through the frosty air. The explosive echoes serve as an unmistakable punctuation, underscoring the intensity of the conflict in the chilling stillness of the night by the frontline."
35,P,45_CHC2023006G04559,e608f39e-ce88-41b2-bc49-481e6a5c159a,"烏克蘭頓巴斯。
四名炮兵在發射M777榴彈炮後抽菸、休息片刻。這個場景顯示出人力減少的影響；通常需要八名士兵才能操作這種口徑的大炮。短暫的喘息凸顯出有限的人員在管理威力如此強大的火砲操作時，所面臨到的挑戰。","UKRAINE. Donbas.
Four artillery crew members take a momentary break for cigarettes after firing the M777 howitzer. This scene reveals the impact of reduced manpower; eight soldiers are typically required to operate a cannon of this caliber. The brief respite highlights the challenges posed by limited personnel in managing the operation of such formidable artillery."
36,P,39_CHC2023006G03650,b17bef0d-11d0-4b38-a451-340bd5b60dde,"烏克蘭頓巴斯。
頓巴斯前線附近，白雪皚皚的路邊和鄰近的田野呈現出一片荒涼。一輛廢棄的坦克，履帶埋入雪中，像一位沉默的哨兵，見證了過去的衝突。在它旁邊，一輛遭燒毀的貨車使淒涼景象加倍，其受破壞的殘餘物銘蝕在冬景中。","UKRAINE. Donbas.
A scene of desolation unfolds on the snowy roadside and adjacent field near the frontline of Donbas. A deserted tank, its tracks embedded in the snow, stands as a silent sentinel, bearing witness to past conflicts. Beside it, a burned-out van adds to the stark tableau, the remnants of its destruction etched against the winter landscape. Combining these abandoned war remnants paints a sad picture of the enduring impacts of conflict in the region."
37,P,02_CHC2023006G03670,5c370586-da0a-403b-8442-52f3bdd40b05,"烏克蘭頓巴斯。
韋謝列（Vesele）附近，白雪覆蓋著廣袤的向日葵田，上空一架武裝直升機劃過冷冽空氣。曾經燦爛繽紛的花卉，在一層灰淡的雪覆蓋下，顯得滄桑無色。機械獸的利刃持續發出重擊，其聲在前線附近的詭譎景觀中，迴盪。","UKRAINE. Donbas. 
Near the town of Vesele, an armed helicopter cuts through the wintry air above a vast field of snow-covered sunflowers. The once-golden faces of the flowers are muted under a layer of dull snow. The mechanical beast's blades create a continuous thumping echoing in the eerie landscape near the frontline."
38,E,CCCUK_profile,000ae2c3-3d50-4ce2-a36c-69732be16975,"張乾琦

1961年生於台中市烏日區。

學經歷：東吳大學英文學士，美國印第安那大學教育碩士，曾任《西雅圖時報》《巴爾的摩太陽報》攝影記者，現為馬格蘭通訊社終身會員。

攝影作品：《鍊》（The Chain）、《我願意》（I do I do I do）、《囍》（Double Happiness）、《時差》（Jet Lag）、《唐人街》（Chinatown）、《脫北者》(Escape from North Korea )等。

獲獎：曾獲荷蘭世界新聞攝影獎、美國NPPA年度攝影師、法國影像Visa國際紀實攝影獎、尤金．史密斯攝影獎、美國年度新聞攝影書獎、第二十八屆東元獎人文類獎、2022年新聞志業特殊貢獻獎，菲利普瓊斯格里菲斯攝影獎，第27屆臺北文化獎。

展覽與典藏：曾參與威尼斯雙年展、巴西聖保羅雙年展、紐約攝影三年展、斐列茲藝術博覽會等國際展覽。攝影作品獲亨利·卡地亞-布列松基金會、喬治伊斯曼博物館、紐約國際攝影博物館、台南奇美博物館、國立台灣美術館、紐約皇后藝術博物館等納為典藏。","Chien-Chi Chang
Born 1961,Taichung, Taiwan.

Education and Work Experience
Chang received a BA from Soochow University in Taipei and an MS from Indiana University, Bloomington. He worked as a photojournalist at The Seattle Times and The Baltimore Sun. Chang joined Magnum Photos in 1995 and was elected as a Full Member in 2001. His photographic works have been widely published in internationally renowned media such as National Geographic, TIME magazine, New York Times and Der Spiegel.


Photography Works
The Chain, I do I do I do, Double Happiness, Jet Lag, Chinatown, Escape from North Korea, and etc.

Awards
Magazine Photographer of the Year, National Press Photographers Association (POY), US, 1999
First prize, Daily Life Stories, World Press Photos, Netherlands, 1999
Visa d'Or, Visa pour l'image, Perpignan, France, 1999
W. Eugene Smith Memorial Fund for Humanistic Photography, 1999
The Best of Photography Book, The Chain, POY, US, 2003
TECO Award Culture Category, Taiwan, 2021
Philip Jones Griffiths Award, UK, 2022
The Foundation for Excellent Journalism Special Contribution Award, Taiwan, 2022
Taipei Cultural Award, Taiwan, 2023

Selected Exhibitions and Collections
Chang’s works have been shown in galleries and museums around the world including Venice Biennale, São Paulo Biennial, International Center of Photography. His photographic works has been in the collection of Henri Cartier-Bresson Foundation, George Eastman Museum, International Center of Photography, Queens Museum, Taipei Fine Arts Museume, Chimei Museum, and National Taiwan Museum of Fine Arts."
